Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
2.9	821.2	(NON-ADVERSARIAL TEST) - Drager1930 mask 376 silent 1 (no challenge with speech or movement)	594	902	812	683	933	915	906	746	1110	843	701	997	machine: FTtPcems2, candles 15-60k (~23000)	Tester_FTTP_AM	2023_02_18			0	FFP3	H
3.1	1243.8	(NON-ADVERSARIAL TEST) - Drager1930 mask 376 silent 2 (no challenge with speech or movement)	1460	1030	534	1080	1140	1560	1720	1520	1570	1730	1580	1700	machine: FTtPcems2, candles 15-60k (~22000)	Tester_FTTP_AM	2023_02_18			0	FFP3	H
3	1051.9	(NON-ADVERSARIAL TEST) - Drager1930 mask 376 silent 3 (no challenge with speech or movement)	1490	1290	1390	1420	1720	1790	1420	847	781	625	854	684	machine: FTtPcems2, candles 15-60k (~23000)	Tester_FTTP_AM	2023_02_18			0	FFP3	H
2.3	181.4	(NON-ADVERSARIAL TEST) - Trident RTCFFP2 regular, water vapor 15K	122	103	141	168	202	272	186	156	320	259	318	215		Tester_FTTP_AM	2023_06_14			0	P2	H
2.5	282.8	(NON-ADVERSARIAL TEST) - Trident RTCFFP2 regular, water vapor 20K	242	378	270	264	343	225	307	202	337	261	394	307		Tester_FTTP_AM	2023_06_14			0	P2	H
1.9	73.7	3M 1860	72	73	78	67	55	73	64	55	111	91	102	83		Tester_FTTP_AM			CrashUM	1	N95	H
1.9	71.4	3M 1860	84	85	60	43	69	84	74	105	81	75	70	66		Tester_FTTP_AM	2023_02_12		Crash	1	N95	H
1.7	45.2	3M 1860	90	19	59	46	112	59	39	50	39	33	38	105	ex2 - private pyle	Tester_FTTP_AM	2023_02_12		Crash	1	N95	H
1.6	40	3M 1860	88	69	111	86	54	64	18	19	25	38	54	38	ex7 - private pyle	Tester_FTTP_AM	2023_02_12		Crash	1	N95	H
2.2	150	3M 1860S	167	227	274	297	78	203	188	107	145	157	107	132		Tester_FTTP_AF	2023_11_24	2.5	Crash2.5	1	N95	H
1.9	86.8	3M 1860S	65	29	107	123	109	168	123	119	142	152	56	130		Tester_FTTP_AF	2023_11_24	2.5	Crash2.5	1	N95	H
1.7	53.9	3M 1860S	50	39	39	77	73	37	63	87	66	33	87	76		Tester_FTTP_AF			CrashUM	1	N95	H
1.9	82.2	3M 1860S	85	70	97	103	93	76	86	98	73	69	72			Tester_FTTP_AM			CrashUM	1	N95	H
1.8	60.8	3M 8210	74	50	77	58	58	45	61	110	45	53	75	70		Tester_FTTP_AM			CrashUM	1	N95	H
1.6	39.4	3M 8247	220	117	13	28	37	24	66	87	76	35	45	51		Tester_FTTP_AM	2023_02_27		Crash	1	R95	H
1.8	64.4	3M 8511	105	65	33	61	27	89	89	93	78	86	116	88		Tester_FTTP_AM	2023_02_27		Crash	1	N95	H
1.3	19.6	3M 8862	209	69	113	229	30	21	22	12	15	17	5.1	21	candles 20K	Tester_FTTP_AF	2023_09_07	2.5	Crash2.5	1	KN95	H
1.7	49.2	3M 8862	877	418	533	238	48	36	40	58	30	24	25	35		Tester_FTTP_AM	2023_09_06	2.5	Crash2.5	1	KN95	H
1.6	42.8	3M 8862	660	65	119	172	154	113	102	56	29	34	17	12		Tester_FTTP_AM	2023_09_06	2.5	Crash2.5	1	KN95	H
1.4	22.4	3M 9010	18	51	33	27	47	68	75	158	15	35	7.1	9.9		Tester_FTTP_AM			CrashUM	1	N95	H
1.3	18.2	3M 9010	503	35	116	277	12	6.7	12	11	14	39	17	19		Tester_FTTP_AM			CrashUM	1	N95	H
1.1	11.8	3M 9132	208	197	35	6	24	23	22	7.3	7.6	7.4	7.8	6.7	GB19083	Tester_FTTP_AM	2023_04_15		Crash	1	GB19083-2010	H
1.5	33.9	3M 9210+	192	88	190	193	50	5.8	99	161						Tester_0029	2023_12_17		OSHA+grimace			
1.6	37.7	3M 9210+	121	65	29	160	74	8.6	93	138						Tester_0029	2023_12_17		OSHA+grimace			
